Speed (Without Acceleration),Angle Speed,Ticks per Step (First),Ticks per Step (Periodic),Ticks per Step (Average),Steps per Second,Angles Before Gravity (Average),Angles Before Reset (Average)
5268,2811,,8,8.0,3.75,44654,122402
5269,2812,,8,8.0,3.75,44668,122437
5270,2813,,8,8.0,3.75,44682,122472
5271,2814,,8,8.0,3.75,44696,122507
5272,2815,,8,8.0,3.75,44710,122542
5273,2816,,8,8.0,3.75,44724,122577
5274,2817,,8,8.0,3.75,44734,122605
5275,2818,,8,8.0,3.75,44748,122640
5276,2819,,8,8.0,3.75,44762,122675
5277,2820,,8,8.0,3.75,44776,122710
5278,2821,,8,8.0,3.75,44790,122745
5279,2822,,8,8.0,3.75,44804,122780
5280,2823,,8,8.0,3.75,44818,122815
5281,2824,,8,8.0,3.75,44832,122850
5282,2825,,8,8.0,3.75,44846,122885
5283,2826,,8,8.0,3.75,44856,122913
5284,2827,,8,8.0,3.75,44870,122948
5285,2828,,8,8.0,3.75,44884,122983
5286,2829,,8,8.0,3.75,44898,123018
5287,2830,,8,8.0,3.75,44912,123053
5288,2831,,8,8.0,3.75,44926,123088
5289,2832,,8,8.0,3.75,44940,123123
5290,2833,,8,8.0,3.75,44954,123158
5291,2834,,8,8.0,3.75,44968,123193
5292,2835,,8,8.0,3.75,44978,123221
5293,2836,,8,8.0,3.75,44992,123256
5294,2837,,8,8.0,3.75,45006,123291
5295,2838,,8,8.0,3.75,45020,123326
5296,2839,,8,8.0,3.75,45034,123361
5297,2840,,8,8.0,3.75,45048,123396
5298,2841,,8,8.0,3.75,45062,123431
5299,2842,,8,8.0,3.75,45076,123466
5300,2843,,8,8.0,3.75,45090,123501
5301,2844,,8,8.0,3.75,45100,123529
5302,2845,,8,8.0,3.75,45114,123564
5303,2846,,8,8.0,3.75,45128,123599
5304,2847,,8,8.0,3.75,45142,123634
5305,2848,,8,8.0,3.75,45156,123669
5306,2849,,8,8.0,3.75,45170,123704
5307,2850,,8,8.0,3.75,45184,123739
5308,2851,,8,8.0,3.75,45198,123774
5309,2852,,8,8.0,3.75,45212,123809
5310,2853,,8,8.0,3.75,45222,123837
5311,2854,,8,8.0,3.75,45236,123872
5312,2855,,8,8.0,3.75,45250,123907
5313,2856,,8,8.0,3.75,45264,123942
5314,2857,,8,8.0,3.75,45278,123977
5315,2858,,8,8.0,3.75,45292,124012
5316,2859,,8,8.0,3.75,45306,124047
5317,2860,,8,8.0,3.75,45320,124082
5318,2861,,8,8.0,3.75,45334,124117
5319,2862,,8,8.0,3.75,45344,124145
5320,2863,,8,8.0,3.75,45358,124180
5321,2864,,8,8.0,3.75,45372,124215
5322,2865,,8,8.0,3.75,45386,124250
5323,2866,,8,8.0,3.75,45400,124285
5324,2867,,8,8.0,3.75,45414,124320
5325,2868,,8,8.0,3.75,45428,124355
5326,2869,,8,8.0,3.75,45442,124390
5327,2870,,8,8.0,3.75,45456,124425
5328,2871,,8,8.0,3.75,45466,124453
5329,2872,,8,8.0,3.75,45480,124488
5330,2873,,8,8.0,3.75,45494,124523
5331,2874,,8,8.0,3.75,45508,124558
5332,2875,,8,8.0,3.75,45522,124593
5333,2876,,8,8.0,3.75,45536,124628
5334,2877,,8,8.0,3.75,45550,124663
5335,2878,,8,8.0,3.75,45564,124698
5336,2879,,8,8.0,3.75,45578,124733
5337,2880,,8,8.0,3.75,45588,124761
5338,2881,,8,8.0,3.75,45602,124796
5339,2882,,8,8.0,3.75,45616,124831
5340,2883,,8,8.0,3.75,45630,124866
5341,2884,,8,8.0,3.75,45644,124901
5342,2885,,8,8.0,3.75,45658,124936
5343,2886,,8,8.0,3.75,45672,124971
5344,2887,,8,8.0,3.75,45686,125006
5345,2888,,8,8.0,3.75,45700,125041
5346,2889,,8,8.0,3.75,45710,125069
5347,2890,,8,8.0,3.75,45724,125104
5348,2891,,8,8.0,3.75,45738,125139
5349,2892,,8,8.0,3.75,45752,125174
5350,2893,,8,8.0,3.75,45766,125209
5351,2894,,8,8.0,3.75,45780,125244
5352,2895,,8,8.0,3.75,45794,125279
5353,2896,,8,8.0,3.75,45808,125314
5354,2897,,8,8.0,3.75,45822,125349
5355,2898,,8,8.0,3.75,45832,125377
5356,2899,,8,8.0,3.75,45846,125412
5357,2900,,8,8.0,3.75,45860,125447
5358,2901,,8,8.0,3.75,45874,125482
5359,2902,,8,8.0,3.75,45888,125517
5360,2903,,8,8.0,3.75,45902,125552
5361,2904,,8,8.0,3.75,45916,125587
5362,2905,,8,8.0,3.75,45930,125622
5363,2906,,8,8.0,3.75,45944,125657
5364,2907,,8,8.0,3.75,45954,125685
5365,2908,,8,8.0,3.75,45968,125720
5366,2909,,8,8.0,3.75,45982,125755
5367,2910,,8,8.0,3.75,45996,125790
5368,2911,,8,8.0,3.75,46010,125825
5369,2912,,8,8.0,3.75,46024,125860
5370,2913,,8,8.0,3.75,46038,125895
5371,2914,,8,8.0,3.75,46052,125930
5372,2915,,8,8.0,3.75,46066,125965
5373,2916,,8,8.0,3.75,46076,125993
5374,2917,,8,8.0,3.75,46090,126028
5375,2918,,8,8.0,3.75,46104,126063
5376,2919,,8,8.0,3.75,46118,126098
5377,2920,,8,8.0,3.75,46132,126133
5378,2921,,8,8.0,3.75,46146,126168
5379,2922,,8,8.0,3.75,46160,126203
5380,2923,,8,8.0,3.75,46174,126238
5381,2924,,8,8.0,3.75,46188,126273
5382,2925,,8,8.0,3.75,46198,126301
5383,2926,,8,8.0,3.75,46212,126336
5384,2927,,8,8.0,3.75,46226,126371
5385,2928,,8,8.0,3.75,46240,126406
5386,2929,,8,8.0,3.75,46254,126441
5387,2930,,8,8.0,3.75,46268,126476
5388,2931,,8,8.0,3.75,46282,126511
5389,2932,,8,8.0,3.75,46296,126546
5390,2933,,8,8.0,3.75,46310,126581
5391,2934,,8,8.0,3.75,46320,126609
5392,2935,,8,8.0,3.75,46334,126644
5393,2936,,8,8.0,3.75,46348,126679
5394,2937,,8,8.0,3.75,46362,126714
5395,2938,,8,8.0,3.75,46376,126749
5396,2939,,8,8.0,3.75,46390,126784
5397,2940,,8,8.0,3.75,46404,126819
5398,2941,,8,8.0,3.75,46418,126854
5399,2942,,8,8.0,3.75,46432,126889
5400,2943,,8,8.0,3.75,46442,126917
5401,2944,,8,8.0,3.75,46456,126952
